Nombre,Origen,Destino,Peso
CA1H,a1,a2,8
CA2H,a2,a3,17
CA3H,a3,a4,3
CA4H,a4,a5,1
CA5H,a5,a6,18
CA6H,a6,a7,8
CA7H,a7,a8,17
CA8H,a8,a9,1
CA9H,a9,a10,15
CA10H,a10,a11,3
CA11H,a11,a12,11
CA12H,a12,a13,5
CA13H,a13,a14,13
CA14H,a14,a15,1
CA15H,a15,a16,6
CA16H,a16,a17,7
CA17H,a17,a18,11
CA18H,a18,a19,3
CA19H,a19,a20,5
CA20H,a20,a21,7
CA21H,a21,a22,11
CA22H,a22,a23,11
CA23H,a23,a24,1
CA24H,a24,a25,14
CA25H,a25,a26,14
CB1H,b2,b1,11
CB2H,b3,b2,10
CB3H,b4,b3,14
CB4H,b5,b4,16
CB5H,b6,b5,6
CB6H,b7,b6,12
CB7H,b8,b7,2
CB8H,b9,b8,9
CB9H,b10,b9,10
CB10H,b11,b10,17
CB11H,b12,b11,2
CB12H,b13,b12,11
CB13H,b14,b13,5
CB14H,b15,b14,11
CB15H,b16,b15,4
CB16H,b17,b16,17
CB17H,b18,b17,19
CB18H,b19,b18,20
CB19H,b20,b19,17
CB20H,b21,b20,9
CB21H,b22,b21,10
CB22H,b23,b22,20
CB23H,b24,b23,6
CB24H,b25,b24,5
CC1H,c1,c2,8
CC2H,c2,c3,1
CC3H,c3,c4,9
CC4H,c4,c5,11
CC5H,c5,c6,16
CC6H,c6,c7,14
CC7H,c7,c8,6
CC8H,c8,c9,4
CC9H,c9,c10,12
CC10H,c10,c11,19
CC11H,c11,c12,17
CC12H,c12,c13,19
CC13H,c13,c14,4
CC14H,c14,c15,20
CC15H,c15,c16,6
CC16H,c16,c17,9
CC17H,c17,c18,20
CC18H,c18,c19,11
CC19H,c19,c20,5
CC20H,c20,c21,3
CC21H,c21,c22,6
CC22H,c22,c23,6
CC23H,c23,c24,6
CC24H,c24,c25,1
CC25H,c25,c26,4
CD1H,d2,d1,15
CD2H,d3,d2,14
CD3H,d4,d3,19
CD4H,d5,d4,3
CD5H,d6,d5,4
CD6H,d7,d6,17
CD7H,d8,d7,1
CD8H,d9,d8,14
CD9H,d10,d9,9
CD10H,d11,d10,11
CD11H,d12,d11,13
CD12H,d13,d12,16
CD13H,d14,d13,17
CD14H,d15,d14,17
CD15H,d16,d15,13
CD16H,d17,d16,10
CD17H,d18,d17,1
CD18H,d19,d18,7
CD19H,d20,d19,11
CD20H,d21,d20,4
CD21H,d22,d21,3
CD22H,d23,d22,14
CD23H,d24,d23,6
CD24H,d25,d24,8
CD25H,d26,d25,10
CE1H,e1,e2,7
CE2H,e2,e3,12
CE3H,e3,e4,18
CE4H,e4,e5,7
CE5H,e5,e6,1
CE6H,e6,e7,11
CE7H,e7,e8,2
CE8H,e8,e9,1
CE9H,e9,e10,4
CE10H,e10,e11,5
CE11H,e11,e12,11
CE12H,e12,e13,4
CE13H,e13,e14,6
CE14H,e14,e15,19
CE15H,e15,e16,1
CE16H,e16,e17,15
CE17H,e17,e18,16
CE18H,e18,e19,1
CE19H,e19,e20,7
CE20H,e20,e21,2
CE21H,e21,e22,10
CE22H,e22,e23,5
CE23H,e23,e24,3
CE24H,e24,e25,4
CE25H,e25,e26,20
CF1H,f2,f1,16
CF2H,f3,f2,4
CF3H,f4,f3,2
CF4H,f5,f4,17
CF5H,f6,f5,11
CF6H,f7,f6,10
CF7H,f8,f7,12
CF8H,f9,f8,3
CF9H,f10,f9,19
CF10H,f11,f10,10
CF11H,f12,f11,14
CF12H,f13,f12,15
CF13H,f14,f13,5
CF14H,f15,f14,7
CF15H,f16,f15,17
CF16H,f17,f16,12
CF17H,f18,f17,16
CF18H,f19,f18,12
CF19H,f20,f19,1
CF20H,f21,f20,20
CF21H,f22,f21,8
CF22H,f23,f22,20
CF23H,f24,f23,13
CF24H,f25,f24,15
CF25H,f26,f25,10
CG1H,g1,g2,13
CG2H,g2,g3,4
CG3H,g3,g4,3
CG4H,g4,g5,14
CG5H,g5,g6,1
CG6H,g6,g7,8
CG7H,g7,g8,16
CG8H,g8,g9,12
CG9H,g9,g10,18
CG10H,g10,g11,20
CG11H,g11,g12,9
CG12H,g12,g13,13
CG13H,g13,g14,2
CG14H,g14,g15,1
CG15H,g15,g16,19
CG16H,g16,g17,5
CG17H,g17,g18,20
CG18H,g18,g19,8
CG19H,g19,g20,18
CG20H,g20,g21,5
CG21H,g21,g22,20
CG22H,g22,g23,7
CG23H,g23,g24,5
CG24H,g24,g25,2
CG25H,g25,g26,12
CH1H,h2,h1,8
CH2H,h3,h2,12
CH3H,h4,h3,1
CH4H,h5,h4,11
CH5H,h6,h5,5
CH6H,h7,h6,11
CH7H,h8,h7,9
CH8H,h9,h8,11
CH9H,h10,h9,10
CH10H,h11,h10,7
CH11H,h12,h11,8
CH12H,h13,h12,4
CH13H,h14,h13,8
CH14H,h15,h14,7
CH15H,h16,h15,16
CH16H,h17,h16,10
CH17H,h18,h17,7
CH18H,h19,h18,11
CH19H,h20,h19,18
CH20H,h21,h20,5
CH21H,h22,h21,15
CH22H,h23,h22,6
CH23H,h24,h23,8
CH24H,h25,h24,14
CH25H,h26,h25,9
CI1H,i1,i2,18
CI2H,i2,i3,13
CI3H,i3,i4,11
CI4H,i4,i5,5
CI5H,i5,i6,13
CI6H,i6,i7,14
CI7H,i7,i8,1
CI8H,i8,i9,5
CI9H,i9,i10,18
CI10H,i10,i11,15
CI11H,i11,i12,2
CI12H,i12,i13,7
CI13H,i13,i14,7
CI14H,i14,i15,12
CI15H,i15,i16,4
CI16H,i16,i17,19
CI17H,i17,i18,5
CI18H,i18,i19,1
CI19H,i19,i20,6
CI20H,i20,i21,9
CI21H,i21,i22,2
CI22H,i22,i23,1
CI23H,i23,i24,14
CI24H,i24,i25,17
CI25H,i25,i26,14
CJ1H,j2,j1,7
CJ2H,j3,j2,20
CJ3H,j4,j3,9
CJ4H,j5,j4,8
CJ5H,j6,j5,7
CJ6H,j7,j6,16
CJ7H,j8,j7,13
CJ8H,j9,j8,1
CJ9H,j10,j9,20
CJ10H,j11,j10,17
