Nombre,Origen,Destino,Peso
CA1H,A1,A2,8
CA2H,A2,A3,17
CA3H,A3,A4,3
CA4H,A4,A5,1
CA5H,A5,A6,18
CA6H,A6,A7,8
CA7H,A7,A8,17
CA8H,A8,A9,1
CA9H,A9,A10,15
CA10H,A10,A11,3
CA11H,A11,A12,11
CA12H,A12,A13,5
CA13H,A13,A14,13
CA14H,A14,A15,1
CA15H,A15,A16,6
CA16H,A16,A17,7
CA17H,A17,A18,11
CA18H,A18,A19,3
CA19H,A19,A20,5
CA20H,A20,A21,7
CA21H,A21,A22,11
CA22H,A22,A23,11
CA23H,A23,A24,1
CA24H,A24,A25,14
CA25H,A25,A26,14
CB1H,B2,B1,11
CB2H,B3,B2,10
CB3H,B4,B3,14
CB4H,B5,B4,16
CB5H,B6,B5,6
CB6H,B7,B6,12
CB7H,B8,B7,2
CB8H,B9,B8,9
CB9H,B10,B9,10
CB10H,B11,B10,17
CB11H,B12,B11,2
CB12H,B13,B12,11
CB13H,B14,B13,5
CB14H,B15,B14,11
CB15H,B16,B15,4
CB16H,B17,B16,17
CB17H,B18,B17,19
CB18H,B19,B18,20
CB19H,B20,B19,17
CB20H,B21,B20,9
CB21H,B22,B21,10
CB22H,B23,B22,20
CB23H,B24,B23,6
CB24H,B25,B24,5
CC1H,C1,C2,8
CC2H,C2,C3,1
CC3H,C3,C4,9
CC4H,C4,C5,11
CC5H,C5,C6,16
CC6H,C6,C7,14
CC7H,C7,C8,6
CC8H,C8,C9,4
CC9H,C9,C10,12
CC10H,C10,C11,19
CC11H,C11,C12,17
CC12H,C12,C13,19
CC13H,C13,C14,4
CC14H,C14,C15,20
CC15H,C15,C16,6
CC16H,C16,C17,9
CC17H,C17,C18,20
CC18H,C18,C19,11
CC19H,C19,C20,5
CC20H,C20,C21,3
CC21H,C21,C22,6
CC22H,C22,C23,6
CC23H,C23,C24,6
CC24H,C24,C25,1
CC25H,C25,C26,4
CD1H,D2,D1,15
CD2H,D3,D2,14
CD3H,D4,D3,19
CD4H,D5,D4,3
CD5H,D6,D5,4
CD6H,D7,D6,17
CD7H,D8,D7,1
CD8H,D9,D8,14
CD9H,D10,D9,9
CD10H,D11,D10,11
CD11H,D12,D11,13
CD12H,D13,D12,16
CD13H,D14,D13,17
CD14H,D15,D14,17
CD15H,D16,D15,13
CD16H,D17,D16,10
CD17H,D18,D17,1
CD18H,D19,D18,7
CD19H,D20,D19,11
CD20H,D21,D20,4
CD21H,D22,D21,3
CD22H,D23,D22,14
CD23H,D24,D23,6
CD24H,D25,D24,8
CD25H,D26,D25,10
CE1H,E1,E2,7
CE2H,E2,E3,12
CE3H,E3,E4,18
CE4H,E4,E5,7
CE5H,E5,E6,1
CE6H,E6,E7,11
CE7H,E7,E8,2
CE8H,E8,E9,1
CE9H,E9,E10,4
CE10H,E10,E11,5
CE11H,E11,E12,11
CE12H,E12,E13,4
CE13H,E13,E14,6
CE14H,E14,E15,19
CE15H,E15,E16,1
CE16H,E16,E17,15
CE17H,E17,E18,16
CE18H,E18,E19,1
CE19H,E19,E20,7
CE20H,E20,E21,2
CE21H,E21,E22,10
CE22H,E22,E23,5
CE23H,E23,E24,3
CE24H,E24,E25,4
CE25H,E25,E26,20
CF1H,F2,F1,16
CF2H,F3,F2,4
CF3H,F4,F3,2
CF4H,F5,F4,17
CF5H,F6,F5,11
CF6H,F7,F6,10
CF7H,F8,F7,12
CF8H,F9,F8,3
CF9H,F10,F9,19
CF10H,F11,F10,10
CF11H,F12,F11,14
CF12H,F13,F12,15
CF13H,F14,F13,5
CF14H,F15,F14,7
CF15H,F16,F15,17
CF16H,F17,F16,12
CF17H,F18,F17,16
CF18H,F19,F18,12
CF19H,F20,F19,1
CF20H,F21,F20,20
CF21H,F22,F21,8
CF22H,F23,F22,20
CF23H,F24,F23,13
CF24H,F25,F24,15
CF25H,F26,F25,10
CG1H,G1,G2,13
CG2H,G2,G3,4
CG3H,G3,G4,3
CG4H,G4,G5,14
CG5H,G5,G6,1
CG6H,G6,G7,8
CG7H,G7,G8,16
CG8H,G8,G9,12
CG9H,G9,G10,18
CG10H,G10,G11,20
CG11H,G11,G12,9
CG12H,G12,G13,13
CG13H,G13,G14,2
CG14H,G14,G15,1
CG15H,G15,G16,19
CG16H,G16,G17,5
CG17H,G17,G18,20
CG18H,G18,G19,8
CG19H,G19,G20,18
CG20H,G20,G21,5
CG21H,G21,G22,20
CG22H,G22,G23,7
CG23H,G23,G24,5
CG24H,G24,G25,2
CG25H,G25,G26,12
CH1H,H2,H1,8
CH2H,H3,H2,12
CH3H,H4,H3,1
CH4H,H5,H4,11
CH5H,H6,H5,5
CH6H,H7,H6,11
CH7H,H8,H7,9
CH8H,H9,H8,11
CH9H,H10,H9,10
CH10H,H11,H10,7
CH11H,H12,H11,8
CH12H,H13,H12,4
CH13H,H14,H13,8
CH14H,H15,H14,7
CH15H,H16,H15,16
CH16H,H17,H16,10
CH17H,H18,H17,7
CH18H,H19,H18,11
CH19H,H20,H19,18
CH20H,H21,H20,5
CH21H,H22,H21,15
CH22H,H23,H22,6
CH23H,H24,H23,8
CH24H,H25,H24,14
CH25H,H26,H25,9
CI1H,I1,I2,18
CI2H,I2,I3,13
CI3H,I3,I4,11
CI4H,I4,I5,5
CI5H,I5,I6,13
CI6H,I6,I7,14
CI7H,I7,I8,1
CI8H,I8,I9,5
CI9H,I9,I10,18
CI10H,I10,I11,15
CI11H,I11,I12,2
CI12H,I12,I13,7
CI13H,I13,I14,7
CI14H,I14,I15,12
CI15H,I15,I16,4
CI16H,I16,I17,19
CI17H,I17,I18,5
CI18H,I18,I19,1
CI19H,I19,I20,6
CI20H,I20,I21,9
CI21H,I21,I22,2
CI22H,I22,I23,1
CI23H,I23,I24,14
CI24H,I24,I25,17
CI25H,I25,I26,14
CJ1H,J2,J1,7
CJ2H,J3,J2,20
CJ3H,J4,J3,9
CJ4H,J5,J4,8
CJ5H,J6,J5,7
CJ6H,J7,J6,16
CJ7H,J8,J7,13
CJ8H,J9,J8,1
CJ9H,J10,J9,20
CJ10H,J11,J10,17
