Nombre,Origen,Destino,Peso
CA1H,a1,a2,8
CA2H,a2,a3,17
CA3H,a3,a4,3
CA4H,a4,a5,1
CA5H,a5,a6,18
CA6H,a6,a7,8
CB1H,b2,b1,11
CB2H,b3,b2,10
CB3H,b4,b3,14
CB4H,b5,b4,16
CB5H,b6,b5,6
CB6H,b7,b6,12
CB7H,b8,b7,2
CB8H,b9,b8,9
CB9H,b10,b9,10
CC1H,c1,c2,8
CC2H,c2,c3,1
CC3H,c3,c4,9
CC4H,c4,c5,11
CC5H,c5,c6,16
CC6H,c6,c7,14
CC7H,c7,c8,6
CC8H,c8,c9,4
CC9H,c9,c10,12
CD1H,d2,d1,15
CD2H,d3,d2,14
CD3H,d4,d3,19
CD4H,d5,d4,3
CD5H,d6,d5,4
CD6H,d7,d6,17
CD7H,d8,d7,1
CD8H,d9,d8,14
CD9H,d10,d9,9
CE1H,e1,e2,7
CE2H,e2,e3,12
CE3H,e3,e4,18
CE4H,e4,e5,7
CE5H,e5,e6,1
CE6H,e6,e7,11
CE7H,e7,e8,2
CE8H,e8,e9,1
CE9H,e9,e10,4
CF1H,f2,f1,16
CF2H,f3,f2,4
CF3H,f4,f3,2
CF4H,f5,f4,17
CF5H,f6,f5,11
CF6H,f7,f6,10
CF7H,f8,f7,12
CF8H,f9,f8,3
CF9H,f10,f9,19
CG1H,g1,g2,13
CG2H,g2,g3,4
CG3H,g3,g4,3
CG4H,g4,g5,14
CG5H,g5,g6,1
CG6H,g6,g7,8
CG7H,g7,g8,16
CG8H,g8,g9,12
CG9H,g9,g10,18
CH1H,h2,h1,8
CH2H,h3,h2,12
CH3H,h4,h3,1
CH4H,h5,h4,11
CH5H,h6,h5,5
CH6H,h7,h6,11
CH7H,h8,h7,9
CH8H,h9,h8,11
CH9H,h10,h9,10
CI1H,i1,i2,18
CI2H,i2,i3,13
CI3H,i3,i4,11
CI4H,i4,i5,5
CI5H,i5,i6,13
CI6H,i6,i7,14
CI7H,i7,i8,1
CI8H,i8,i9,5
CI9H,i9,i10,18
CJ1H,j2,j1,7
CJ2H,j3,j2,20
CJ3H,j4,j3,9
CJ4H,j5,j4,8
CJ5H,j6,j5,7
CJ6H,j7,j6,16
CJ7H,j8,j7,13
CJ8H,j9,j8,1
CJ9H,j10,j9,20
CA1V,a1,b1,1
CA2V,b2,a2,13
CA3V,a3,b3,8
CA4V,b4,a4,5
CA5V,a5,b5,7
CA6V,b6,a6,19
CA7V,a7,b7,19
CA10V,b10,a10,18
CB1V,b1,c1,12
CB2V,c2,b2,1
CB3V,b3,c3,9
CB4V,c4,b4,14
CB5V,b5,c5,9
CB6V,c6,b6,4
CB7V,b7,c7,18
CB8V,c8,b8,3
CB9V,b9,c9,17
CB10V,c10,b10,8
CC1V,c1,d1,10
CC2V,d2,c2,11
CC3V,c3,d3,5
CC4V,d4,c4,8
CC5V,c5,d5,17
CC6V,d6,c6,19
CC7V,c7,d7,18
CC8V,d8,c8,8
CC9V,c9,d9,5
CC10V,d10,c10,13
CD1V,d1,e1,5
CD2V,e2,d2,15
CD3V,d3,e3,11
CD4V,e4,d4,19
CD5V,d5,e5,16
CD6V,e6,d6,13
CD7V,d7,e7,3
CD8V,e8,d8,14
CD9V,d9,e9,10
CD10V,e10,d10,11
CE1V,e1,f1,13
CE2V,f2,e2,4
CE3V,e3,f3,13
CE4V,f4,e4,18
CE5V,e5,f5,8
CE6V,f6,e6,20
CE7V,e7,f7,10
CE8V,f8,e8,14
CE9V,e9,f9,14
CE10V,f10,e10,16
CF1V,f1,g1,15
CF2V,g2,f2,17
CF3V,f3,g3,19
CF4V,g4,f4,19
CF5V,f5,g5,8
CF6V,g6,f6,20
CF7V,f7,g7,8
CF8V,g8,f8,5
CF9V,f9,g9,8
CF10V,g10,f10,18
CG1V,g1,h1,14
CG2V,h2,g2,18
CG3V,g3,h3,18
CG4V,h4,g4,19
CG5V,g5,h5,5
CG6V,h6,g6,7
CG7V,g7,h7,12
CG8V,h8,g8,5
CG9V,g9,h9,17
CG10V,h10,g10,4
CH1V,h1,i1,18
CH2V,i2,h2,18
CH3V,h3,i3,15
CH4V,i4,h4,10
CH5V,h5,i5,3
CH6V,i6,h6,13
CH7V,h7,i7,19
CH8V,i8,h8,19
CH9V,h9,i9,6
CH10V,i10,h10,2
CI1V,i1,j1,19
CI2V,j2,i2,19
CI3V,i3,j3,17
CI4V,j4,i4,3
CI5V,i5,j5,16
CI6V,j6,i6,10
CI7V,i7,j7,14
CI8V,j8,i8,10
CI9V,i9,j9,7
CI10V,j10,i10,7
