Nombre,Origen,Destino,Peso
CA1H,a1,a2,2
R_CA1H,a2,a1,2
CA2H,a2,a3,12
R_CA2H,a3,a2,12
CA3H,a3,a4,14
R_CA3H,a4,a3,14
CA4H,a4,a5,12
R_CA4H,a5,a4,12
CA5H,a5,a6,5
R_CA5H,a6,a5,5
CB1H,b2,b1,15
R_CB1H,b1,b2,15
CB2H,b3,b2,16
R_CB2H,b2,b3,16
CB3H,b4,b3,15
R_CB3H,b3,b4,15
CB4H,b5,b4,6
R_CB4H,b4,b5,6
CB5H,b6,b5,6
R_CB5H,b5,b6,6
CC1H,c1,c2,10
R_CC1H,c2,c1,10
CC2H,c2,c3,1
R_CC2H,c3,c2,1
CC3H,c3,c4,11
R_CC3H,c4,c3,11
CC4H,c4,c5,14
R_CC4H,c5,c4,14
CC5H,c5,c6,11
R_CC5H,c6,c5,11
CD1H,d2,d1,4
R_CD1H,d1,d2,4
CD2H,d3,d2,13
R_CD2H,d2,d3,13
CD3H,d4,d3,3
R_CD3H,d3,d4,3
CD4H,d5,d4,14
R_CD4H,d4,d5,14
CD5H,d6,d5,18
R_CD5H,d5,d6,18
CE1H,e1,e2,3
R_CE1H,e2,e1,3
CE2H,e2,e3,16
R_CE2H,e3,e2,16
CE3H,e3,e4,7
R_CE3H,e4,e3,7
CE4H,e4,e5,17
R_CE4H,e5,e4,17
CE5H,e5,e6,2
R_CE5H,e6,e5,2
CF1H,f2,f1,18
R_CF1H,f1,f2,18
CF2H,f3,f2,7
R_CF2H,f2,f3,7
CF3H,f4,f3,5
R_CF3H,f3,f4,5
CF4H,f5,f4,14
R_CF4H,f4,f5,14
CF5H,f6,f5,14
R_CF5H,f5,f6,14
CA1V,a1,b1,20
R_CA1V,b1,a1,20
CA2V,b2,a2,11
R_CA2V,a2,b2,11
CA3V,a3,b3,5
R_CA3V,b3,a3,5
CA4V,b4,a4,14
R_CA4V,a4,b4,14
CA5V,a5,b5,19
R_CA5V,b5,a5,19
CA6V,b6,a6,1
R_CA6V,a6,b6,1
CB1V,c1,b1,3
R_CB1V,b1,c1,3
CB2V,b2,c2,6
R_CB2V,c2,b2,6
CB3V,c3,b3,18
R_CB3V,b3,c3,18
CB4V,b4,c4,14
R_CB4V,c4,b4,14
CB5V,c5,b5,4
R_CB5V,b5,c5,4
CB6V,b6,c6,12
R_CB6V,c6,b6,12
CC1V,c1,d1,12
R_CC1V,d1,c1,12
CC2V,d2,c2,3
R_CC2V,c2,d2,3
CC3V,c3,d3,12
R_CC3V,d3,c3,12
CC4V,d4,c4,3
R_CC4V,c4,d4,3
CC5V,c5,d5,2
R_CC5V,d5,c5,2
CC6V,d6,c6,11
R_CC6V,c6,d6,11
CD1V,e1,d1,10
R_CD1V,d1,e1,10
CD2V,d2,e2,8
R_CD2V,e2,d2,8
CD3V,e3,d3,11
R_CD3V,d3,e3,11
CD4V,d4,e4,11
R_CD4V,e4,d4,11
CD5V,e5,d5,8
R_CD5V,d5,e5,8
CD6V,d6,e6,16
R_CD6V,e6,d6,16
CE1V,e1,f1,7
R_CE1V,f1,e1,7
CE2V,f2,e2,11
R_CE2V,e2,f2,11
CE3V,e3,f3,4
R_CE3V,f3,e3,4
CE4V,f4,e4,15
R_CE4V,e4,f4,15
CE5V,e5,f5,20
R_CE5V,f5,e5,20
CE6V,f6,e6,15
R_CE6V,e6,f6,15
